,date,hour,hourly_polarity,datetime,polarity_diff
1,2022-02-24,07,0.023768749088048935,2022-02-2407,0.2980687581002712
2,2022-02-24,08,0.15114761782544,2022-02-2408,0.12737886873739107
3,2022-02-24,09,0.05673636157404293,2022-02-2409,-0.09441125625139707
4,2022-02-24,10,0.41161044775994854,2022-02-2410,0.3548740861859056
5,2022-02-24,11,0.40607400000095367,2022-02-2411,-0.005536447758994867
6,2022-02-24,12,0.13190681758252057,2022-02-2412,-0.2741671824184331
7,2022-02-24,13,0.3956525004468858,2022-02-2413,0.2637456828643653
8,2022-02-24,14,0.36582999868052346,2022-02-2414,-0.029822501766362364
9,2022-02-24,15,0.23886857288224356,2022-02-2415,-0.1269614257982799
10,2022-02-24,16,0.29487321459289106,2022-02-2416,0.05600464171064751
11,2022-02-24,17,0.4916733260949453,2022-02-2417,0.19680011150205423
12,2022-02-24,18,0.4410066619515419,2022-02-2418,-0.05066666414340337
13,2022-02-24,19,0.4213575399920063,2022-02-2419,-0.01964912195953561
14,2022-02-24,20,0.3058351936936379,2022-02-2420,-0.11552234629836844
15,2022-02-24,21,0.39683296959450903,2022-02-2421,0.09099777590087116
16,2022-02-24,22,0.18224227913474075,2022-02-2422,-0.21459069045976828
17,2022-02-24,23,0.18626159799098968,2022-02-2423,0.004019318856248927
18,2022-02-25,00,0.08723432781980998,2022-02-2500,-0.0990272701711797
19,2022-02-25,01,0.18439122590056636,2022-02-2501,0.09715689808075638
20,2022-02-25,02,0.16879073709801393,2022-02-2502,-0.015600488802552437
21,2022-02-25,03,0.09955882324891932,2022-02-2503,-0.0692319138490946
22,2022-02-25,04,0.29058484507329535,2022-02-2504,0.19102602182437603
23,2022-02-25,05,0.29934651162042175,2022-02-2505,0.008761666547126401
24,2022-02-25,06,0.2535092585754615,2022-02-2506,-0.045837253044960224
25,2022-02-25,07,0.021137037486941727,2022-02-2507,-0.2323722210885198
26,2022-02-25,08,0.24277142506270183,2022-02-2508,0.2216343875757601
27,2022-02-25,09,0.20909599497914313,2022-02-2509,-0.033675430083558694
28,2022-02-25,10,0.2023588211513033,2022-02-2510,-0.006737173827839837
29,2022-02-25,11,0.31313622300175653,2022-02-2511,0.11077740185045323
30,2022-02-25,12,0.28056064846574286,2022-02-2512,-0.032575574536013674
31,2022-02-25,13,0.24685971728629535,2022-02-2513,-0.0337009311794475
32,2022-02-25,14,0.19406556728921953,2022-02-2514,-0.05279414999707582
33,2022-02-25,15,0.2377217340728511,2022-02-2515,0.04365616678363157
34,2022-02-25,16,0.17519999678958864,2022-02-2516,-0.06252173728326246
35,2022-02-25,17,0.09930434511245592,2022-02-2517,-0.07589565167713272
36,2022-02-25,18,0.10559999805532004,2022-02-2518,0.006295652942864119
37,2022-02-25,19,0.26101688014996516,2022-02-2519,0.1554168820946451
38,2022-02-25,20,0.32799176052212714,2022-02-2520,0.06697488037216198
39,2022-02-25,21,0.1451972552562413,2022-02-2521,-0.18279450526588584
40,2022-02-25,22,0.2804396182720391,2022-02-2522,0.1352423630157978
41,2022-02-25,23,0.3402245859386491,2022-02-2523,0.05978496766661001
42,2022-02-26,00,0.6538292661913343,2022-02-2600,0.3136046802526852
43,2022-02-26,01,0.5940712524642204,2022-02-2601,-0.05975801372711387
44,2022-02-26,02,0.5960336891080135,2022-02-2602,0.0019624366437930307
45,2022-02-26,03,0.298999993904651,2022-02-2603,-0.2970336952033625
46,2022-02-26,04,0.4277100921091106,2022-02-2604,0.1287100982044596
47,2022-02-26,05,0.5389197205648562,2022-02-2605,0.11120962845574556
48,2022-02-26,06,0.34386769538710577,2022-02-2606,-0.1950520251777504
49,2022-02-26,07,0.5200752737314513,2022-02-2607,0.17620757834434558
50,2022-02-26,08,0.583989951572533,2022-02-2608,0.06391467784108162
51,2022-02-26,09,0.5376589121196318,2022-02-2609,-0.04633103945290118
52,2022-02-26,10,0.38591244094901617,2022-02-2610,-0.15174647117061563
53,2022-02-26,11,0.4118663821972257,2022-02-2611,0.025953941248209544
54,2022-02-26,12,0.46367488899513293,2022-02-2612,0.05180850679790722
55,2022-02-26,13,0.538779649715134,2022-02-2613,0.0751047607200011
56,2022-02-26,14,0.4167487211903642,2022-02-2614,-0.12203092852476982
57,2022-02-26,15,0.2726736525936824,2022-02-2615,-0.1440750685966818
58,2022-02-26,16,0.3482229205348143,2022-02-2616,0.07554926794113187
59,2022-02-26,17,0.36117876647918856,2022-02-2617,0.012955845944374267
60,2022-02-26,18,0.2797412633422821,2022-02-2618,-0.08143750313690645
61,2022-02-26,19,0.42036083314593853,2022-02-2619,0.14061956980365642
62,2022-02-26,20,0.3834133617938521,2022-02-2620,-0.036947471352086425
63,2022-02-26,21,0.19695321906117663,2022-02-2621,-0.18646014273267547
64,2022-02-26,22,0.22695560602516662,2022-02-2622,0.03000238696398999
65,2022-02-26,23,0.28201054601962844,2022-02-2623,0.055054939994461816
66,2022-02-27,00,0.298002891458463,2022-02-2700,0.015992345438834543
67,2022-02-27,01,0.25801758713054435,2022-02-2701,-0.039985304327918636
68,2022-02-27,02,0.33406285214282216,2022-02-2702,0.07604526501227782
69,2022-02-27,03,0.23412450297059967,2022-02-2703,-0.0999383491722225
70,2022-02-27,04,0.2665008835028857,2022-02-2704,0.03237638053228603
71,2022-02-27,05,0.4558760244245372,2022-02-2705,0.18937514092165147
72,2022-02-27,06,0.358783991932869,2022-02-2706,-0.0970920324916682
73,2022-02-27,07,0.1868366994201503,2022-02-2707,-0.17194729251271867
74,2022-02-27,08,0.20860947001921504,2022-02-2708,0.02177277059906474
