Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2009","2009","tonnes","516213","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2010","2010","tonnes","554114","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2011","2011","tonnes","605828","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2012","2012","tonnes","634776","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2013","2013","tonnes","609499","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2014","2014","tonnes","587755","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2015","2015","tonnes","573173","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2016","2016","tonnes","531938","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2017","2017","tonnes","541803","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2018","2018","tonnes","508387","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2019","2019","tonnes","506950","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","2020","2020","tonnes","516087","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1961","1961","1000 US$","2593","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1962","1962","1000 US$","2717","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1963","1963","1000 US$","2395","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1964","1964","1000 US$","1750","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1965","1965","1000 US$","1943","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1966","1966","1000 US$","2383","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1967","1967","1000 US$","2558","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1968","1968","1000 US$","1825","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1969","1969","1000 US$","1521","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1970","1970","1000 US$","1435","A","Official figure"
