,Area,Year,Head,Tonne,Land under temp. meadows and pastures,Land under perm. meadows and pastures,Value,Export Value,Export Quantity,Temperature_C,Rainfall_mm/yr,Manure_kg,Nutrient nitrogen N (total),Nutrient phosphate P2O5 (total),Nutrient potash K2O (total),Country Code,volume(litre),volume/cow(litre),Total Pasture(ha),Surface Area,% Pasture,Revenue(usd),Revenue per cow(usd),Revenue per hectare(usd),Price per litre(usd),Exported volume,Export Value per litre(USD)
208,Estonia,2002,128600.0,611064.0,265.0,67.0,167.5,528000.0,2715.0,6.21,528.45,2703686.4,16700.0,4015.0,6292.0,EST,594999026.2901655,4626.742039581381,332000.0,4522700,0.07340747783403719,102353220.0,795.903732503888,308.2928313253012,0.17202249999999997,2643622.2005842263,0.1997259668508287
209,Estonia,2003,115600.0,610982.0,175.9,268.0,204.2,328000.0,781.0,5.78,626.51,2430374.4,23255.0,6181.0,9613.0,EST,594919182.083739,5146.35970660674,443900.0,4522700,0.09814933557388286,124762524.39999999,1079.2605916955017,281.05997837350753,0.20971339999999997,760467.3807205453,0.4313137003841229
210,Estonia,2004,116800.0,651885.0,153.6,236.3,297.0,134000.0,242.0,5.97,724.14,2455603.2,24833.0,7420.0,11529.0,EST,634746835.443038,5434.476330847928,389900.0,4522700,0.08620956508280452,193609845.0,1657.6185359589042,496.5628238009746,0.305019,235637.77994157744,0.5686694214876032
211,Estonia,2005,116500.0,669969.0,201.7,279.0,316.8,4191000.0,12998.0,6.11,635.79,2449296.0,20083.0,6283.0,9705.0,EST,652355404.0895814,5599.617202485677,480700.0,4522700,0.1062860680566918,212246179.20000002,1821.8556154506439,441.53563386727694,0.32535359999999997,12656280.428432329,0.3311399446068626
212,Estonia,2006,112800.0,691451.0,163.8,330.5,304.8,16348000.0,51157.0,6.57,552.5,2371507.2,22610.0,8099.0,11589.0,EST,673272638.7536515,5968.729066964996,494300.0,4522700,0.10929312136555597,210754264.8,1868.3888723404257,426.3691377705847,0.31302959999999996,49812074.001947425,0.3281935219031608
213,Estonia,2007,108400.0,692416.0,180.6,307.0,367.4,13166000.0,34527.0,6.72,692.79,2279001.6,24982.0,8061.0,12427.0,EST,674212268.7439144,6219.670375866369,487600.0,4522700,0.10781170539721847,254393638.39999998,2346.8047822878225,521.7260836751435,0.3773197999999999,33619279.454722494,0.3916205288614707
214,Estonia,2008,103000.0,693647.0,163.1,301.0,434.1,25764000.0,56506.0,7.23,781.37,2165472.0,35455.0,9590.0,14952.0,EST,675410905.5501461,6557.38743252569,464100.0,4522700,0.10261569416498995,301112162.7,2923.4190553398057,648.8087970265029,0.44582069999999996,55020447.90652386,0.4682622730329522
215,Estonia,2009,96700.0,670554.0,139.6,327.3,291.9,3575000.0,9893.0,6.02,714.63,2033020.8,27328.0,5660.0,8410.0,EST,652925024.3427459,6752.068504061488,466900.0,4522700,0.10323479337563844,195734712.6,2024.143873836608,419.221916041979,0.2997812999999999,9632911.392405065,0.3711235216819973
216,Estonia,2010,96700.0,675344.0,199.2,296.7,367.3,29935000.0,76512.0,4.93,749.5,2033020.8,28628.0,6117.0,9366.0,EST,657589094.449854,6800.300873318035,495900.0,4522700,0.1096468923430694,248053851.20000002,2565.1897745604965,500.2094196410567,0.37721709999999997,74500486.85491724,0.401809454726056
217,Estonia,2011,96500.0,692387.0,169.4,306.6,449.0,48746000.0,103214.0,6.93,673.6,2028816.0,29803.0,6139.0,9286.0,EST,674184031.1587148,6986.363017188754,476000.0,4522700,0.10524686581024609,310881763.0,3221.5726735751296,653.1129474789916,0.46112299999999995,100500486.85491724,0.485032476214467
218,Estonia,2012,96200.0,720718.0,158.4,328.6,385.4,65847000.0,163439.0,5.59,843.93,2022508.8,32978.0,6769.0,10557.0,EST,701770204.4790653,7294.908570468454,487000.0,4522700,0.10767904128065094,277764717.2,2887.3671226611227,570.3587622176591,0.39580579999999993,159142161.63583255,0.41376213143741697
219,Estonia,2013,96800.0,771632.0,166.0,324.0,448.7,95830000.0,201462.0,6.75,596.24,2035123.2,33659.0,7166.0,11718.0,EST,751345666.9912367,7761.835402802032,490000.0,4522700,0.10834236186348863,346231278.4,3576.7694049586776,706.5944457142857,0.4608148999999999,196165530.6718598,0.4885159980542236
220,Estonia,2014,97900.0,804796.0,162.0,317.0,435.2,92007000.0,196310.63,6.94,635.17,2058249.6,35806.0,8646.0,11361.0,EST,783637779.9415774,8004.47170522551,479000.0,4522700,0.10591018639308378,350247219.2,3577.6018304392237,731.2050505219206,0.4469503999999999,191149591.04186955,0.48133506066380605
221,Estonia,2015,95600.0,782700.0,147.0,315.0,262.7,41233000.0,146819.01,7.37,578.29,2009894.4,36276.0,8066.0,11462.0,EST,762122687.4391432,7971.994638484762,462000.0,4522700,0.10215136975700356,205615290.0,2150.7875523012553,445.05474025974024,0.26979289999999995,142959113.92405066,0.2884251228774802
222,Estonia,2016,86100.0,782700.0,178.0,304.0,261.9,55824000.0,206176.98,6.46,694.77,1810166.4,36390.0,7889.0,10909.0,EST,762122687.4391432,8851.59915724905,482000.0,4522700,0.10657350697592147,204989129.99999997,2380.826132404181,425.28865145228207,0.26897129999999997,200756553.067186,0.27806813350355597
223,Estonia,2017,86400.0,790028.0,171.0,296.0,369.1,87221000.0,227413.92,6.25,788.71,1816473.6,37333.0,9305.0,13070.0,EST,769258033.1061344,8903.449457246927,467000.0,4522700,0.10325690406173303,291599334.8,3374.992300925926,624.4097104925054,0.3790657,221435170.39922106,0.3938895517037831
224,Estonia,2018,85200.0,796900.0,181.0,295.0,362.6,83801000.0,216378.81,7.03,548.69,1791244.8,38867.0,9303.0,12199.0,EST,775949367.0886077,9107.386937659714,476000.0,4522700,0.10524686581024609,288955940.0,3391.5016431924882,607.050294117647,0.3723902,210690175.26777023,0.39774517199720244
225,Estonia,2019,85000.0,820800.0,180.0,292.0,331.3,77868000.0,212808.8,7.18,718.51,1787040.0,41438.0,9287.0,11564.0,EST,799221032.1324246,9402.600378028525,472000.0,4522700,0.10436243836646251,271931040.0,3199.188705882353,576.1250847457627,0.34024509999999997,207214021.42161638,0.3757853810556706
