Variable:,pr
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1938,1287.84,1376.53,1236.24,1247.98,1201.78,1349.78,1189.30,1180.89,1278.06,1228.69,1235.97,1193.41,1319.57,1383.54,1439.64,1247.90
1939,1279.22,1348.96,1283.93,1289.48,1306.88,1225.08,1140.98,1152.57,1210.89,1322.36,1149.33,1264.30,1313.45,1385.83,1339.48,1330.57
1940,1263.19,1284.87,1241.18,1320.88,1345.87,1115.93,1109.31,1132.17,1245.01,1375.09,1082.83,1313.53,1378.20,1381.49,1240.60,1341.50
1941,1175.31,1246.95,1290.80,1173.45,1218.40,1049.97,1057.98,1078.76,1090.04,1214.82,1019.52,1133.81,1210.01,1338.12,1172.06,1269.29
1942,1435.59,1491.06,1289.56,1324.49,1279.49,1672.99,1442.74,1389.41,1322.15,1322.37,1418.74,1268.06,1434.18,1413.76,1819.03,1320.37
1943,1213.24,1331.29,1290.40,1159.83,1110.27,1207.38,1178.74,1153.21,1062.53,1131.77,1131.72,1096.15,1156.54,1351.33,1343.16,1223.84
1944,1326.57,1430.73,1226.76,1203.97,1126.29,1584.48,1342.17,1292.82,1144.55,1151.28,1374.59,1117.89,1241.79,1351.97,1690.02,1206.90
1945,1262.93,1315.04,1239.64,1195.44,1194.87,1342.90,1276.08,1244.66,1101.77,1202.06,1196.87,1149.51,1201.82,1335.64,1507.93,1236.89
1946,1181.91,1261.30,1277.04,1215.44,1184.61,1014.13,1033.58,1051.21,1156.63,1231.12,1022.58,1185.15,1244.09,1367.59,1125.52,1265.49
1947,1460.00,1351.57,1347.14,1701.28,1860.24,1161.78,1101.26,1105.17,1641.41,1886.77,1125.75,1784.74,1780.16,1530.48,1246.92,1680.01
1948,1585.94,1654.55,1455.74,1545.28,1611.88,1648.74,1363.53,1407.03,1574.96,1663.13,1519.17,1589.64,1680.55,1597.84,1739.03,1538.31
1949,1267.28,1337.61,1285.49,1311.76,1276.21,1221.47,1099.51,1120.23,1160.50,1296.83,1137.63,1276.24,1259.61,1389.70,1326.96,1338.83
1950,1433.33,1641.08,1563.36,1442.42,1332.95,1380.43,1226.00,1257.65,1305.20,1366.28,1354.59,1334.02,1397.34,1630.77,1456.23,1442.25
1951,1275.76,1309.46,1282.04,1339.25,1228.12,1183.94,1215.00,1142.37,1266.19,1304.26,1105.51,1293.10,1240.94,1435.41,1379.35,1342.92
1952,1359.44,1372.28,1345.18,1477.48,1539.96,1198.30,1023.20,1027.33,1544.15,1575.94,1137.16,1471.40,1656.05,1484.85,1246.46,1460.15
1953,1452.46,1347.12,1351.94,1719.89,1790.61,1212.45,1080.98,1041.49,1670.91,1803.71,1099.49,1732.37,1761.84,1583.49,1312.64,1686.14
1954,1568.79,1623.68,1496.65,1523.63,1500.33,1536.09,1563.39,1546.46,1511.90,1575.43,1463.52,1503.20,1642.95,1613.09,1705.81,1523.44
1955,1232.25,1256.13,1185.27,1211.35,1185.63,1207.42,1256.20,1129.32,1243.78,1251.39,1120.97,1178.42,1320.45,1311.61,1372.25,1188.66
1956,1144.59,1210.93,1118.40,1068.46,1015.98,1167.61,1232.40,1155.74,1063.70,1066.70,1091.85,1035.20,1117.53,1183.53,1342.60,1088.60
1957,1388.21,1388.68,1351.56,1482.62,1528.50,1225.56,1061.89,1135.49,1511.88,1581.04,1170.96,1500.61,1672.09,1511.39,1267.41,1493.39
1958,1680.55,1796.24,1787.62,1768.41,1792.42,1502.34,1227.49,1298.84,1767.16,1844.58,1435.07,1747.59,1890.89,1927.76,1548.44,1820.58
1959,1303.29,1254.45,1243.05,1431.34,1631.24,1011.77,939.50,970.31,1631.31,1652.31,1017.17,1493.57,1770.01,1406.26,1042.46,1453.83
1960,1632.40,1661.45,1567.22,1676.36,1653.75,1602.30,1465.46,1463.31,1571.06,1725.02,1461.41,1662.09,1684.67,1742.10,1727.78,1682.04
1961,1164.07,1197.95,1073.14,1069.73,1026.45,1232.12,1309.28,1208.98,1096.32,1078.62,1119.59,1023.16,1190.09,1143.75,1421.05,1072.38
1962,1087.35,1073.64,1092.81,1223.97,1171.34,991.58,855.87,856.57,1165.19,1210.61,910.34,1170.85,1240.56,1261.51,975.92,1192.15
